ID,PIN,Address,Legal Description,Property Status,Date of Acquisition,Date of Disposition,Sq. Ft.,Ward,Community Area Number,Community Area Name,Zoning Classification,Zip Code,Last Update,X Coordinate,Y Coordinate,Latitude,Longitude,Location
34188,20-16-108-020-0000,,,Sold,,,,,,,,,5/22/2018,,,,,
23901,25-03-423-032-0000,9341 S EVANS AVE,,Owned by City,,,0,,,,,60619,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
37558,26-20-125-004-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
38100,26-08-328-043-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
36451,20-17-430-014-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
23294,25-24-405-037-0000,11834 S CALHOUN AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
22145,25-25-206-043-0000,12244 S HOXIE AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
22978,25-25-200-020-0000,12247 S PAXTON AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
24952,26-30-402-019-0000,3130 E 127TH ST,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
36345,20-17-429-010-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
37322,25-36-406-012-0000,13433 S CALHOUN AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
34285,20-16-106-006-0000,,,Sold,,,,,,,,,5/22/2018,,,,,
47568,20-16-214-029-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
23307,25-25-202-013-0000,12231 S CRANDON AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
35891,20-17-428-032-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
37271,26-20-125-003-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
23079,25-25-200-034-0000,12222 S LUELLA AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
34157,20-16-106-015-0000,,,Sold,,,,,,,,,5/22/2018,,,,,
22649,25-34-106-002-0000,13006 S RHODES AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
37565,26-20-128-023-0000,,,Owned by City,,,,,,,,,5/22/2018,,,,,
22622,25-25-212-018-0000,12343 S JEFFERY AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
22822,25-24-431-002-0000,12103 S HOXIE AVE,,Owned by City,,,0,,,,,0,5/22/2018,0.000,0.000,0.0000000,0.0000000,"(0, 0)"
